report_year,data_source,utility_id_pudl,plant_id_eia
2011,PUC,123,702
2011,PUC,123,6052
2011,PUC,349,3797
2011,PUC,349,3803
2011,PUC,349,3804
2011,PUC,349,3809
2011,PUC,349,7212
2011,PUC,349,7213
2013,PUC,18,8
2013,PUC,18,10
2013,PUC,18,6002
2013,PUC,18,7698
2013,PUC,81,1710
2015,FERC,293,3298
2015,PUC,18,8
2015,PUC,18,10
2015,PUC,31,117
2015,PUC,31,118
2015,PUC,89,1733
2015,PUC,89,1740
2015,PUC,89,1743
2015,PUC,89,6034
2015,PUC,287,8224
2015,PUC,301,51
2015,PUC,318,7296
2016,FERC,91,638
2016,FERC,91,8049
2016,FERC,103,3456
2016,FERC,246,525
2016,FERC,246,3648
2016,FERC,246,6101
2016,FERC,246,54761
2016,FERC,365,4072
2016,FERC,365,4078
2016,PUC,97,3250
2016,PUC,97,6014
2016,PUC,130,643
2016,PUC,144,6166
2016,PUC,204,2322
2016,PUC,349,3809
2016,PUC,349,7213
2017,FERC,330,2451
2017,PUC,29,3775
2017,PUC,123,6052
2017,PUC,123,6124
2017,PUC,123,6257
2017,PUC,161,6065
2017,PUC,161,6068
2017,PUC,178,2176
2018,FERC,29,3935
2018,FERC,35,7931
2018,FERC,42,56596
2018,FERC,62,57703
2018,FERC,97,6014
2018,FERC,144,6166
2018,FERC,150,1073
2018,FERC,162,3948
2018,FERC,190,10
2018,FERC,263,3048
2018,FERC,263,6106
2018,FERC,274,2451
2018,FERC,275,2963
2018,FERC,359,1248
2018,FERC,364,4050
2018,PUC,31,118
2018,PUC,31,2442
2018,PUC,31,55455
2018,PUC,92,55110
2018,PUC,97,6014
2018,PUC,121,612
2018,PUC,121,6043
2018,PUC,171,8023
2018,PUC,190,10
2018,PUC,190,2049
2018,PUC,272,470
2018,PUC,272,525
2018,PUC,302,2446
2018,PUC,334,2104
2019,FERC,7,6166
2019,FERC,89,1733
2019,FERC,89,1743
2019,FERC,89,6034
2019,FERC,109,6641
2019,FERC,150,1073
2019,FERC,150,6254
2019,FERC,160,1241
2019,FERC,274,2451
2019,FERC,274,55343
2019,FERC,361,3948
2019,PUC,224,7237
2020,PUC,97,6014
2020,PUC,246,6021
